Country Name,City,Country Code,Region,IncomeGroup,"PPP Ratio
(2024)","Std Family
Urban
(Annual)","Std Family
Rural
(Annual)","Typical Fam
Urban
(Annual)","Typical Fam
Rural
(Annual)","Single Indiv
Urban
(Annual)","Single Indiv
Rural
(Annual)","Single Parent
Urban
(Annual)","Single Parent
Rural
(Annual)",Source
Bosnia and Herzegovina,,BIH,Europe & Central Asia,Upper middle income,0.374,"USD 13,795","USD 8,566","USD 12,955","USD 7,908","USD 10,070","USD 5,614","USD 20,604","USD 11,960",Numbeo
Belarus,,BLR,Europe & Central Asia,Upper middle income,0.252,"USD 9,240","USD 5,233","USD 7,898","USD 4,323","USD 7,294","USD 3,411","USD 14,405","USD 7,580",Numbeo
Belize,,BLZ,Latin America & Caribbean,Upper middle income,0.535,"USD 16,158","USD 9,110","USD 14,896","USD 8,278","USD 12,177","USD 6,241","USD 25,322","USD 13,336",PPP Model
Bermuda,,BMU,North America,High income,1.150,"USD 35,160","USD 20,093","USD 30,298","USD 16,683","USD 29,597","USD 15,297","USD 55,930","USD 30,247",PPP Model
Bolivia,,BOL,Latin America & Caribbean,Lower middle income,0.343,"USD 8,725","USD 5,102","USD 8,640","USD 5,142","USD 5,978","USD 3,243","USD 13,488","USD 7,363",Numbeo
Brazil,,BRA,Latin America & Caribbean,Upper middle income,0.462,"USD 9,143","USD 5,345","USD 8,413","USD 4,851","USD 6,441","USD 3,347","USD 13,992","USD 7,622",Numbeo
Barbados,,BRB,Latin America & Caribbean,High income,1.069,"USD 32,663","USD 18,642","USD 28,327","USD 15,611","USD 27,208","USD 14,051","USD 51,884","USD 27,988",PPP Model
Brunei Darussalam,,BRN,East Asia & Pacific,High income,0.369,"USD 11,061","USD 6,195","USD 10,538","USD 5,882","USD 7,897","USD 4,032","USD 17,207","USD 8,946",PPP Model
Bhutan,,BTN,South Asia,Lower middle income,0.000,"USD 11,134","USD 6,194","USD 10,662","USD 5,934","USD 8,026","USD 4,092","USD 17,376","USD 8,973",Income Avg
Botswana,,BWA,Sub-Saharan Africa,Upper middle income,0.375,"USD 11,239","USD 6,297","USD 10,693","USD 5,968","USD 8,043","USD 4,107","USD 17,490","USD 9,098",PPP Model
Central African Republic,,CAF,Sub-Saharan Africa,Low income,0.409,"USD 12,275","USD 6,888","USD 11,590","USD 6,462","USD 8,895","USD 4,546","USD 19,135","USD 9,984",PPP Model
Canada,,CAN,North America,High income,0.840,"USD 26,563","USD 15,980","USD 23,564","USD 13,870","USD 22,405","USD 12,238","USD 41,655","USD 23,737",Numbeo
Central Europe and the Baltics,,CEB,,,0.000,"USD 18,727","USD 10,628","USD 16,923","USD 9,418","USD 14,757","USD 7,611","USD 29,477","USD 15,670",Aggregate
Switzerland,,CHE,Europe & Central Asia,High income,1.078,"USD 34,728","USD 19,367","USD 30,750","USD 16,760","USD 28,139","USD 14,388","USD 55,573","USD 29,201",Numbeo
Channel Islands,,CHI,Europe & Central Asia,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Chile,,CHL,Latin America & Caribbean,High income,0.462,"USD 10,780","USD 6,605","USD 9,548","USD 5,691","USD 7,955","USD 4,415","USD 16,422","USD 9,454",Numbeo
China,,CHN,East Asia & Pacific,Upper middle income,0.491,"USD 10,617","USD 5,564","USD 8,843","USD 4,378","USD 6,800","USD 3,297","USD 16,739","USD 8,062",Numbeo
Cote d'Ivoire,,CIV,Sub-Saharan Africa,Lower middle income,0.356,"USD 10,659","USD 5,966","USD 10,188","USD 5,689","USD 7,570","USD 3,863","USD 16,570","USD 8,605",PPP Model
Cameroon,,CMR,Sub-Saharan Africa,Lower middle income,0.327,"USD 9,798","USD 5,476","USD 9,434","USD 5,274","USD 6,876","USD 3,506","USD 15,207","USD 7,874",PPP Model
"Congo, Dem. Rep.",,COD,Sub-Saharan Africa,Low income,0.357,"USD 10,686","USD 5,982","USD 10,212","USD 5,703","USD 7,593","USD 3,875","USD 16,614","USD 8,628",PPP Model
"Congo, Rep.",,COG,Sub-Saharan Africa,Lower middle income,0.353,"USD 10,585","USD 5,924","USD 10,124","USD 5,654","USD 7,511","USD 3,833","USD 16,454","USD 8,542",PPP Model
Colombia,,COL,Latin America & Caribbean,Upper middle income,0.354,"USD 9,809","USD 5,605","USD 9,399","USD 5,300","USD 6,960","USD 3,803","USD 15,152","USD 8,054",Numbeo
Comoros,,COM,Sub-Saharan Africa,Lower middle income,0.420,"USD 12,624","USD 7,087","USD 11,890","USD 6,627","USD 9,184","USD 4,695","USD 19,689","USD 10,283",PPP Model
Cabo Verde,,CPV,Sub-Saharan Africa,Upper middle income,0.464,"USD 13,963","USD 7,853","USD 13,037","USD 7,257","USD 10,306","USD 5,274","USD 21,820","USD 11,435",PPP Model
Costa Rica,,CRI,Latin America & Caribbean,High income,0.598,"USD 19,804","USD 11,163","USD 17,810","USD 9,761","USD 14,830","USD 7,575","USD 30,693","USD 16,041",Numbeo
Caribbean small states,,CSS,,,0.000,"USD 16,786","USD 9,508","USD 15,277","USD 8,499","USD 12,805","USD 6,606","USD 26,301","USD 13,923",Aggregate
Cuba,,CUB,Latin America & Caribbean,Upper middle income,0.000,"USD 12,054","USD 7,259","USD 10,448","USD 6,151","USD 7,591","USD 5,851","USD 18,155","USD 10,132",Numbeo
Curacao,,CUW,Latin America & Caribbean,High income,0.698,"USD 21,175","USD 11,994","USD 19,068","USD 10,563","USD 16,583","USD 8,525","USD 33,356","USD 17,730",PPP Model
Cayman Islands,,CYM,Latin America & Caribbean,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Cyprus,,CYP,Europe & Central Asia,High income,0.614,"USD 19,163","USD 10,829","USD 17,124","USD 9,481","USD 14,006","USD 7,517","USD 30,609","USD 16,315",Numbeo
Czechia,,CZE,Europe & Central Asia,High income,0.552,"USD 18,735","USD 10,508","USD 16,329","USD 8,965","USD 14,954","USD 7,761","USD 29,724","USD 15,611",Numbeo
Germany,,DEU,Europe & Central Asia,High income,0.759,"USD 27,053","USD 15,534","USD 23,584","USD 13,250","USD 20,205","USD 10,574","USD 42,424","USD 22,847",Numbeo
Djibouti,,DJI,Middle East & North Africa,Lower middle income,0.455,"USD 13,689","USD 7,696","USD 12,803","USD 7,129","USD 10,075","USD 5,155","USD 21,384","USD 11,199",PPP Model
Dominica,,DMA,Latin America & Caribbean,Upper middle income,0.488,"USD 14,719","USD 8,285","USD 13,680","USD 7,611","USD 10,946","USD 5,605","USD 23,025","USD 12,088",PPP Model
Denmark,,DNK,Europe & Central Asia,High income,0.878,"USD 23,661","USD 13,957","USD 21,295","USD 12,361","USD 18,501","USD 9,709","USD 36,794","USD 20,413",Numbeo
Dominican Republic,,DOM,Latin America & Caribbean,Upper middle income,0.395,"USD 16,985","USD 7,719","USD 16,502","USD 7,612","USD 12,289","USD 4,984","USD 27,151","USD 11,060",Numbeo
Algeria,,DZA,Middle East & North Africa,Upper middle income,0.326,"USD 5,595","USD 3,753","USD 6,446","USD 4,391","USD 3,515","USD 2,146","USD 8,160","USD 5,165",Numbeo
East Asia & Pacific (excluding high income),,EAP,,,0.000,"USD 14,336","USD 8,048","USD 13,025","USD 7,185","USD 10,683","USD 5,467","USD 22,468","USD 11,764",Aggregate
Early-demographic dividend,,EAR,,,0.000,"USD 11,134","USD 6,194","USD 10,662","USD 5,934","USD 8,026","USD 4,092","USD 17,376","USD 8,973",Aggregate
East Asia & Pacific,,EAS,,,0.000,"USD 18,058","USD 9,917","USD 16,139","USD 8,664","USD 13,689","USD 6,959","USD 28,554","USD 14,632",Aggregate
Europe & Central Asia (excluding high income),,ECA,,,0.000,"USD 10,902","USD 6,058","USD 10,371","USD 5,712","USD 8,189","USD 4,075","USD 17,028","USD 8,770",Aggregate
Europe & Central Asia,,ECS,,,0.000,"USD 18,727","USD 10,628","USD 16,923","USD 9,418","USD 14,757","USD 7,611","USD 29,477","USD 15,670",Aggregate
Ecuador,,ECU,Latin America & Caribbean,Upper middle income,0.434,"USD 8,374","USD 5,180","USD 7,621","USD 4,689","USD 6,220","USD 3,379","USD 12,831","USD 7,476",Numbeo
"Egypt, Arab Rep.",,EGY,Middle East & North Africa,Lower middle income,0.175,"USD 4,209","USD 2,462","USD 4,468","USD 2,685","USD 2,830","USD 1,503","USD 6,403","USD 3,459",Numbeo
Euro area,,EMU,,,0.000,"USD 22,249","USD 12,684","USD 19,872","USD 11,085","USD 17,712","USD 9,203","USD 35,079","USD 18,774",Aggregate
Eritrea,,ERI,Sub-Saharan Africa,Low income,0.000,"USD 9,977","USD 5,581","USD 9,573","USD 5,349","USD 7,047","USD 3,595","USD 15,499","USD 8,037",Income Avg
Spain,,ESP,Europe & Central Asia,High income,0.608,"USD 17,799","USD 9,815","USD 16,513","USD 8,791","USD 15,323","USD 7,559","USD 28,434","USD 14,703",Numbeo
Estonia,,EST,Europe & Central Asia,High income,0.624,"USD 16,989","USD 9,677","USD 15,229","USD 8,435","USD 12,063","USD 6,283","USD 26,572","USD 14,122",Numbeo
Ethiopia,,ETH,Sub-Saharan Africa,0,0.345,"USD 10,330","USD 5,779","USD 9,901","USD 5,531","USD 7,304","USD 3,726","USD 16,049","USD 8,325",PPP Model
European Union,,EUU,,,0.000,"USD 22,249","USD 12,684","USD 19,872","USD 11,085","USD 17,712","USD 9,203","USD 35,079","USD 18,774",Aggregate
Fragile and conflict affected situations,,FCS,,,0.000,"USD 9,977","USD 5,581","USD 9,573","USD 5,349","USD 7,047","USD 3,595","USD 15,499","USD 8,037",Aggregate
Finland,,FIN,Europe & Central Asia,High income,0.816,"USD 21,828","USD 12,799","USD 19,643","USD 11,224","USD 16,340","USD 8,866","USD 33,944","USD 18,685",Numbeo
Fiji,,FJI,East Asia & Pacific,Upper middle income,0.416,"USD 12,497","USD 7,014","USD 11,781","USD 6,567","USD 9,079","USD 4,641","USD 19,487","USD 10,174",PPP Model
France,,FRA,Europe & Central Asia,High income,0.737,"USD 21,987","USD 12,968","USD 20,565","USD 11,994","USD 16,587","USD 8,857","USD 34,102","USD 18,876",Numbeo
Faroe Islands,,FRO,Europe & Central Asia,High income,0.905,"USD 27,559","USD 15,683","USD 24,256","USD 13,395","USD 22,408","USD 11,551","USD 43,634","USD 23,402",PPP Model
"Micronesia, Fed. Sts.",,FSM,East Asia & Pacific,Lower middle income,0.958,"USD 29,217","USD 16,643","USD 25,585","USD 14,119","USD 23,955","USD 12,356","USD 46,311","USD 24,888",PPP Model
Gabon,,GAB,Sub-Saharan Africa,Upper middle income,0.383,"USD 11,480","USD 6,434","USD 10,902","USD 6,083","USD 8,240","USD 4,208","USD 17,872","USD 9,304",PPP Model
United Kingdom,,GBR,Europe & Central Asia,High income,0.849,"USD 29,097","USD 15,926","USD 26,318","USD 14,204","USD 25,088","USD 12,543","USD 46,684","USD 24,104",Numbeo
Georgia,,GEO,Europe & Central Asia,Upper middle income,0.327,"USD 11,757","USD 6,369","USD 11,729","USD 6,301","USD 8,742","USD 4,281","USD 18,550","USD 9,300",Numbeo
Ghana,,GHA,Sub-Saharan Africa,Lower middle income,0.298,"USD 8,906","USD 4,969","USD 8,646","USD 4,839","USD 6,165","USD 3,140","USD 13,797","USD 7,121",PPP Model
Gibraltar,,GIB,Europe & Central Asia,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Guinea,,GIN,Sub-Saharan Africa,Lower middle income,0.371,"USD 11,134","USD 6,237","USD 10,602","USD 5,918","USD 7,957","USD 4,062","USD 17,323","USD 9,009",PPP Model
"Gambia, The",,GMB,Sub-Saharan Africa,Low income,0.251,"USD 7,467","USD 4,154","USD 7,361","USD 4,128","USD 5,042","USD 2,563","USD 11,529","USD 5,915",PPP Model
Guinea-Bissau,,GNB,Sub-Saharan Africa,Low income,0.323,"USD 9,665","USD 5,401","USD 9,317","USD 5,209","USD 6,769","USD 3,451","USD 14,997","USD 7,762",PPP Model
Equatorial Guinea,,GNQ,Sub-Saharan Africa,Upper middle income,0.384,"USD 11,522","USD 6,458","USD 10,939","USD 6,103","USD 8,275","USD 4,226","USD 17,939","USD 9,340",PPP Model
Greece,,GRC,Europe & Central Asia,High income,0.558,"USD 14,891","USD 9,208","USD 13,610","USD 8,238","USD 11,093","USD 6,131","USD 22,802","USD 13,283",Numbeo
Grenada,,GRD,Latin America & Caribbean,Upper middle income,0.580,"USD 17,531","USD 9,898","USD 16,048","USD 8,910","USD 13,366","USD 6,857","USD 27,517","USD 14,533",PPP Model
Greenland,,GRL,Europe & Central Asia,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Guatemala,,GTM,Latin America & Caribbean,Upper middle income,0.428,"USD 12,867","USD 7,226","USD 12,099","USD 6,742","USD 9,387","USD 4,800","USD 20,076","USD 10,492",PPP Model
Guam,,GUM,East Asia & Pacific,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Guyana,,GUY,Latin America & Caribbean,High income,0.370,"USD 11,102","USD 6,219","USD 10,574","USD 5,902","USD 7,931","USD 4,049","USD 17,273","USD 8,982",PPP Model
High income,,HIC,,,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Aggregate
"Hong Kong SAR, China",,HKG,East Asia & Pacific,High income,0.719,"USD 37,015","USD 16,492","USD 31,921","USD 13,459","USD 27,163","USD 12,544","USD 61,858","USD 25,793",Numbeo
Honduras,,HND,Latin America & Caribbean,Lower middle income,0.458,"USD 13,776","USD 7,746","USD 12,877","USD 7,170","USD 10,148","USD 5,193","USD 21,522","USD 11,274",PPP Model
Heavily indebted poor countries (HIPC),,HPC,,,0.000,"USD 9,977","USD 5,581","USD 9,573","USD 5,349","USD 7,047","USD 3,595","USD 15,499","USD 8,037",Aggregate
Croatia,,HRV,Europe & Central Asia,High income,0.485,"USD 22,167","USD 12,702","USD 19,834","USD 11,143","USD 17,643","USD 9,101","USD 34,556","USD 18,506",Numbeo
Haiti,,HTI,Latin America & Caribbean,Lower middle income,0.671,"USD 20,327","USD 11,506","USD 18,369","USD 10,181","USD 15,826","USD 8,132","USD 31,995","USD 16,983",PPP Model
Hungary,,HUN,Europe & Central Asia,High income,0.480,"USD 16,248","USD 9,836","USD 14,419","USD 8,590","USD 12,418","USD 6,711","USD 25,132","USD 14,312",Numbeo
IBRD only,,IBD,,,0.000,"USD 11,767","USD 6,577","USD 11,161","USD 6,204","USD 8,577","USD 4,375","USD 18,360","USD 9,534",Aggregate
IDA & IBRD total,,IBT,,,0.000,"USD 11,420","USD 6,384","USD 10,853","USD 6,038","USD 8,281","USD 4,224","USD 17,806","USD 9,244",Aggregate
IDA total,,IDA,,,0.000,"USD 10,749","USD 5,989","USD 10,299","USD 5,739","USD 7,700","USD 3,926","USD 16,750","USD 8,661",Aggregate
IDA blend,,IDB,,,0.000,"USD 11,134","USD 6,194","USD 10,662","USD 5,934","USD 8,026","USD 4,092","USD 17,376","USD 8,973",Aggregate
Indonesia,,IDN,East Asia & Pacific,Upper middle income,0.299,"USD 9,292","USD 5,019","USD 8,769","USD 4,764","USD 5,486","USD 2,782","USD 14,519","USD 7,203",Numbeo
IDA only,,IDX,,,0.000,"USD 9,977","USD 5,581","USD 9,573","USD 5,349","USD 7,047","USD 3,595","USD 15,499","USD 8,037",Aggregate
Isle of Man,,IMN,Europe & Central Asia,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
India,,IND,South Asia,Lower middle income,0.241,"USD 4,917","USD 2,840","USD 4,602","USD 2,655","USD 3,000","USD 1,603","USD 7,599","USD 4,077",Numbeo
Not classified,,INX,#N/A,#N/A,,"USD 15,648","USD 8,775","USD 14,366","USD 7,943","USD 11,922","USD 6,103","USD 24,598","USD 12,883",Global Avg
Ireland,,IRL,Europe & Central Asia,High income,0.802,"USD 31,868","USD 17,406","USD 28,832","USD 15,518","USD 28,081","USD 14,389","USD 51,655","USD 26,746",Numbeo
"Iran, Islamic Rep.",,IRN,Middle East & North Africa,Upper middle income,0.261,"USD 6,614","USD 3,431","USD 6,272","USD 3,203","USD 4,333","USD 2,143","USD 10,518","USD 5,024",Numbeo
Iraq,,IRQ,Middle East & North Africa,Upper middle income,0.420,"USD 7,158","USD 4,257","USD 8,860","USD 5,448","USD 5,172","USD 2,620","USD 11,022","USD 6,143",Numbeo
Iceland,,ISL,Europe & Central Asia,High income,1.028,"USD 31,363","USD 17,887","USD 27,296","USD 15,050","USD 25,975","USD 13,408","USD 49,780","USD 26,816",PPP Model
Israel,,ISR,Middle East & North Africa,High income,0.947,"USD 27,211","USD 15,976","USD 27,665","USD 16,610","USD 22,726","USD 11,745","USD 42,877","USD 23,780",Numbeo
Italy,,ITA,Europe & Central Asia,High income,0.649,"USD 23,578","USD 13,773","USD 20,644","USD 11,693","USD 17,986","USD 9,602","USD 36,610","USD 19,995",Numbeo
Jamaica,,JAM,Latin America & Caribbean,Upper middle income,0.602,"USD 18,190","USD 10,277","USD 16,598","USD 9,211","USD 13,941","USD 7,155","USD 28,571","USD 15,109",PPP Model
Jordan,,JOR,Middle East & North Africa,Lower middle income,0.427,"USD 8,293","USD 4,993","USD 9,717","USD 5,959","USD 6,052","USD 3,175","USD 12,655","USD 7,134",Numbeo
Japan,,JPN,East Asia & Pacific,High income,0.624,"USD 18,647","USD 10,546","USD 15,565","USD 8,473","USD 11,702","USD 6,432","USD 28,504","USD 14,831",Numbeo
Kazakhstan,,KAZ,Europe & Central Asia,Upper middle income,0.346,"USD 10,563","USD 5,917","USD 11,089","USD 6,432","USD 8,186","USD 3,923","USD 16,618","USD 8,672",Numbeo
Kenya,,KEN,Sub-Saharan Africa,Lower middle income,0.321,"USD 9,624","USD 4,731","USD 10,302","USD 5,365","USD 5,201","USD 2,679","USD 15,102","USD 6,705",Numbeo
Kyrgyz Republic,,KGZ,Europe & Central Asia,Lower middle income,0.302,"USD 9,026","USD 5,038","USD 8,753","USD 4,898","USD 6,261","USD 3,189","USD 13,987","USD 7,222",PPP Model
Cambodia,,KHM,East Asia & Pacific,Lower middle income,0.330,"USD 9,872","USD 5,518","USD 9,499","USD 5,309","USD 6,935","USD 3,536","USD 15,324","USD 7,937",PPP Model
Kiribati,,KIR,East Asia & Pacific,Lower middle income,0.618,"USD 18,702","USD 10,571","USD 17,024","USD 9,444","USD 14,390","USD 7,388","USD 29,391","USD 15,557",PPP Model
St. Kitts and Nevis,,KNA,Latin America & Caribbean,High income,0.688,"USD 20,842","USD 11,803","USD 18,794","USD 10,413","USD 16,285","USD 8,370","USD 32,821","USD 17,437",PPP Model
"Korea, Rep.",,KOR,East Asia & Pacific,High income,0.594,"USD 21,645","USD 12,294","USD 17,054","USD 9,054","USD 13,202","USD 7,285","USD 33,019","USD 17,222",Numbeo
Kuwait,,KWT,Middle East & North Africa,High income,0.624,"USD 16,975","USD 8,858","USD 14,957","USD 7,659","USD 11,985","USD 5,771","USD 27,440","USD 13,407",Numbeo
Latin America & Caribbean (excluding high income),,LAC,,,0.000,"USD 13,129","USD 7,408","USD 12,223","USD 6,832","USD 9,637","USD 4,979","USD 20,434","USD 10,719",Aggregate
Lao PDR,,LAO,East Asia & Pacific,Lower middle income,0.217,"USD 6,455","USD 3,582","USD 6,445","USD 3,620","USD 4,269","USD 2,167","USD 9,939","USD 5,074",PPP Model
Lebanon,,LBN,Middle East & North Africa,Lower middle income,0.000,"USD 11,782","USD 5,469","USD 10,756","USD 5,050","USD 8,493","USD 3,903","USD 18,452","USD 7,638",Numbeo
Liberia,,LBR,Sub-Saharan Africa,Low income,0.455,"USD 13,696","USD 7,700","USD 12,809","USD 7,132","USD 10,081","USD 5,158","USD 21,395","USD 11,205",PPP Model
Libya,,LBY,Middle East & North Africa,Upper middle income,0.459,"USD 13,823","USD 7,773","USD 12,918","USD 7,192","USD 10,188","USD 5,214","USD 21,598","USD 11,315",PPP Model
St. Lucia,,LCA,Latin America & Caribbean,Upper middle income,0.514,"USD 15,515","USD 8,741","USD 14,354","USD 7,980","USD 11,624","USD 5,956","USD 24,294","USD 12,777",PPP Model
Latin America & Caribbean,,LCN,,,0.000,"USD 16,786","USD 9,508","USD 15,277","USD 8,499","USD 12,805","USD 6,606","USD 26,301","USD 13,923",Aggregate
Least developed countries: UN classification,,LDC,,,0.000,"USD 9,977","USD 5,581","USD 9,573","USD 5,349","USD 7,047","USD 3,595","USD 15,499","USD 8,037",Aggregate
Low income,,LIC,,,0.000,"USD 9,977","USD 5,581","USD 9,573","USD 5,349","USD 7,047","USD 3,595","USD 15,499","USD 8,037",Aggregate
Liechtenstein,,LIE,Europe & Central Asia,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Sri Lanka,,LKA,South Asia,Lower middle income,0.289,"USD 9,980","USD 5,035","USD 9,351","USD 4,710","USD 6,550","USD 3,150","USD 15,419","USD 6,939",Numbeo
Lower middle income,,LMC,,,0.000,"USD 11,134","USD 6,194","USD 10,662","USD 5,934","USD 8,026","USD 4,092","USD 17,376","USD 8,973",Aggregate
Low & middle income,,LMY,,,0.000,"USD 11,420","USD 6,384","USD 10,853","USD 6,038","USD 8,281","USD 4,224","USD 17,806","USD 9,244",Aggregate
Lesotho,,LSO,Sub-Saharan Africa,Lower middle income,0.324,"USD 9,689","USD 5,414","USD 9,338","USD 5,221","USD 6,788","USD 3,461","USD 15,034","USD 7,782",PPP Model
Late-demographic dividend,,LTE,,,0.000,"USD 12,352","USD 6,933","USD 11,622","USD 6,453","USD 9,088","USD 4,637","USD 19,272","USD 10,053",Aggregate
Lithuania,,LTU,Europe & Central Asia,High income,0.531,"USD 20,222","USD 11,377","USD 17,743","USD 9,633","USD 16,001","USD 7,773","USD 31,466","USD 16,437",Numbeo
Luxembourg,,LUX,Europe & Central Asia,High income,0.883,"USD 31,546","USD 16,772","USD 28,467","USD 14,714","USD 26,227","USD 13,291","USD 51,934","USD 26,124",Numbeo
Latvia,,LVA,Europe & Central Asia,High income,0.537,"USD 17,526","USD 10,339","USD 15,582","USD 8,963","USD 11,420","USD 6,364","USD 26,836","USD 14,738",Numbeo
"Macao SAR, China",,MAC,East Asia & Pacific,High income,0.567,"USD 17,133","USD 9,670","USD 15,715","USD 8,727","USD 13,019","USD 6,678","USD 26,880","USD 14,185",PPP Model
St. Martin (French part),,MAF,Latin America & Caribbean,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Morocco,,MAR,Middle East & North Africa,Lower middle income,0.399,"USD 7,533","USD 4,061","USD 7,669","USD 4,177","USD 5,592","USD 2,576","USD 11,763","USD 5,836",Numbeo
Monaco,,MCO,Europe & Central Asia,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Moldova,,MDA,Europe & Central Asia,Upper middle income,0.407,"USD 12,777","USD 6,447","USD 11,368","USD 5,662","USD 9,444","USD 4,312","USD 20,622","USD 9,636",Numbeo
Madagascar,,MDG,Sub-Saharan Africa,Low income,0.289,"USD 8,640","USD 4,818","USD 8,410","USD 4,708","USD 5,955","USD 3,032","USD 13,377","USD 6,897",PPP Model
Maldives,,MDV,South Asia,Upper middle income,0.511,"USD 15,409","USD 8,681","USD 14,265","USD 7,931","USD 11,534","USD 5,909","USD 24,126","USD 12,686",PPP Model
"Middle East, North Africa, Afghanistan & Pakistan",,MEA,,,0.000,"USD 12,440","USD 6,838","USD 11,871","USD 6,555","USD 9,438","USD 4,640","USD 19,689","USD 10,099",Aggregate
Mexico,,MEX,Latin America & Caribbean,Upper middle income,0.542,"USD 14,708","USD 8,070","USD 13,473","USD 7,364","USD 11,067","USD 5,318","USD 23,177","USD 11,802",Numbeo
Marshall Islands,,MHL,East Asia & Pacific,Upper middle income,0.943,"USD 28,735","USD 16,364","USD 25,199","USD 13,909","USD 23,504","USD 12,122","USD 45,533","USD 24,455",PPP Model
Middle income,,MIC,,,0.000,"USD 11,767","USD 6,577","USD 11,161","USD 6,204","USD 8,577","USD 4,375","USD 18,360","USD 9,534",Aggregate
North Macedonia,,MKD,Europe & Central Asia,Upper middle income,0.344,"USD 8,101","USD 4,921","USD 7,775","USD 4,640","USD 6,045","USD 3,347","USD 12,260","USD 6,953",Numbeo
Mali,,MLI,Sub-Saharan Africa,Low income,0.330,"USD 9,883","USD 5,525","USD 9,509","USD 5,315","USD 6,944","USD 3,541","USD 15,342","USD 7,946",PPP Model
Malta,,MLT,Middle East & North Africa,High income,0.628,"USD 19,449","USD 10,861","USD 16,422","USD 8,838","USD 16,009","USD 8,180","USD 31,397","USD 16,523",Numbeo
Myanmar,,MMR,East Asia & Pacific,Lower middle income,0.227,"USD 6,738","USD 3,742","USD 6,702","USD 3,763","USD 4,483","USD 2,277","USD 10,382","USD 5,308",PPP Model
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",,MNA,,,0.000,"USD 9,108","USD 5,124","USD 9,065","USD 5,142","USD 6,522","USD 3,324","USD 14,122","USD 7,367",Aggregate
Montenegro,,MNE,Europe & Central Asia,Upper middle income,0.389,"USD 13,773","USD 7,856","USD 13,914","USD 7,863","USD 10,847","USD 5,396","USD 21,643","USD 11,558",Numbeo
Mongolia,,MNG,East Asia & Pacific,Upper middle income,0.353,"USD 10,565","USD 5,913","USD 10,106","USD 5,644","USD 7,494","USD 3,824","USD 16,421","USD 8,525",PPP Model
Northern Mariana Islands,,MNP,East Asia & Pacific,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Mozambique,,MOZ,Sub-Saharan Africa,Low income,0.385,"USD 11,557","USD 6,478","USD 10,969","USD 6,120","USD 8,303","USD 4,241","USD 17,994","USD 9,370",PPP Model
Mauritania,,MRT,Sub-Saharan Africa,Lower middle income,0.286,"USD 8,549","USD 4,767","USD 8,329","USD 4,664","USD 5,884","USD 2,996","USD 13,234","USD 6,821",PPP Model
Mauritius,,MUS,Sub-Saharan Africa,Upper middle income,0.377,"USD 9,844","USD 5,905","USD 8,735","USD 5,133","USD 7,307","USD 3,783","USD 15,086","USD 8,484",Numbeo
Malawi,,MWI,Sub-Saharan Africa,Low income,0.281,"USD 8,396","USD 4,680","USD 8,193","USD 4,588","USD 5,764","USD 2,934","USD 12,992","USD 6,692",PPP Model
Malaysia,,MYS,East Asia & Pacific,Upper middle income,0.306,"USD 9,817","USD 5,892","USD 8,675","USD 5,115","USD 7,185","USD 3,818","USD 14,913","USD 8,314",Numbeo
North America,,NAC,,,0.000,"USD 30,518","USD 17,720","USD 26,929","USD 15,263","USD 25,815","USD 13,478","USD 48,406","USD 26,588",Aggregate
Namibia,,NAM,Sub-Saharan Africa,Lower middle income,0.378,"USD 11,328","USD 6,347","USD 10,770","USD 6,010","USD 8,115","USD 4,144","USD 17,631","USD 9,174",PPP Model
New Caledonia,,NCL,East Asia & Pacific,High income,0.000,"USD 22,128","USD 12,429","USD 19,753","USD 10,854","USD 17,500","USD 8,975","USD 35,020","USD 18,450",Income Avg
Niger,,NER,Sub-Saharan Africa,Low income,0.359,"USD 10,750","USD 6,018","USD 10,267","USD 5,733","USD 7,644","USD 3,901","USD 16,715","USD 8,682",PPP Model
